Location of the referral,Sub department,Workflow title,Presenter / shuffler,Table language,Full time / part time,Date effective,Date end,Bonus amount (EUR gross),Bonus amount (EUR net),Pay type,Special campaign - 1st installment,Special campaign - 2nd installment,Special campaign - 3rd installment,Specificity,Rule rank
Brazil,,Presenter / shuffler,Presenter,Portuguese,Full time,1/1/2026,,400,,standard,,,,7,720260101001
Brazil,,Presenter / shuffler,Shuffler,,Full time,1/1/2026,,300,,standard,,,,5,520260101002
Brazil,,General support,,,,1/1/2026,,700,,standard,,,,0,20260101003
Romania,,Presenter / shuffler,Presenter,Russian,Full time,11/22/2025,,3419,2000,3 installments,1000,500,500,7,720251122004
Serbia,,Presenter / shuffler,Presenter,Russian,Full time,10/21/2025,,2853,2000,3 installments,1000,500,500,7,720251021005
Serbia,,Presenter / shuffler,Shuffler,,Full time,11/1/2025,,1428,1000,standard,,,,5,520251101006
Bulgaria,,Presenter / shuffler,Shuffler,,Full time,11/1/2025,,1289,1000,standard,,,,5,520251101007
Bulgaria,Appearance,General support,,,,10/2/2025,,1289,1000,standard,,,,5,520251002008
Serbia,,Presenter / shuffler,Presenter,English,Full time,3/1/2025,,2105,1500,standard,,,,7,720250301009
Romania,,Presenter / shuffler,Presenter,English,Full time,3/1/2025,,1709,1000,standard,,,,7,720250301010
Bulgaria,,Presenter / shuffler,Presenter,English,Full time,3/1/2025,,1925,1500,standard,,,,7,720250301011
Serbia,,Presenter / shuffler,Presenter,Turkish,Full time,1/1/2025,10/13/2025,2853,2000,3 installments,1000,500,500,7,720250101012
Romania,,Presenter / shuffler,Presenter,Turkish,Full time,1/1/2025,10/31/2025,2853,2000,3 installments,1000,500,500,7,720250101013
Serbia,,Presenter / shuffler,Presenter,Russian,Full time,6/26/2025,10/20/2025,,1500,standard,,,,7,720250626014
Bulgaria,,Presenter / shuffler,Presenter,Turkish,Full time,1/1/2025,10/13/2025,2853,2000,3 installments,1000,500,500,7,720250101015
"Western Europe, North America",,General support,,,,1/1/2023,,1500,-,standard,,,,0,20230101016
Serbia,,Presenter / shuffler,Shuffler,,Full time,1/1/2023,10/31/2025,713,500,standard,,,,5,520230101017
Serbia,,Presenter / shuffler,Presenter,,Full time,1/1/2023,,713,500,standard,,,,5,520230101018
Serbia,,Presenter / shuffler,Presenter,,Part time,1/1/2023,,357,250,standard,,,,5,520230101019
Serbia,,Presenter / shuffler,Shuffler,,Part time,1/1/2023,,357,250,standard,,,,5,520230101020
Serbia,,General support,,,,1/1/2023,,713,500,standard,,,,0,20230101021
Romania,,Presenter / shuffler,Presenter,,,1/1/2023,,858,502,standard,,,,4,420230101022
Romania,,Presenter / shuffler,Shuffler,,,1/1/2023,,858,502,standard,,,,4,420230101023
Romania,,General support,,,,1/1/2023,,700,,standard,,,,0,20230101024
Colombia,,Presenter / shuffler,Presenter,English,,1/1/2023,,300,300,standard,,,,6,620230101025
Colombia,,Presenter / shuffler,Presenter,Portuguese,,1/1/2023,,300,300,standard,,,,6,620230101026
Colombia,,Presenter / shuffler,Presenter,Spanish,,1/1/2023,,300,300,standard,,,,6,620230101027
Colombia,,Presenter / shuffler,Shuffler,,,1/1/2023,,200,200,standard,,,,4,420230101028
Colombia,,General support,,,,1/1/2023,,700,,standard,,,,0,20230101029
Canada,,Presenter / shuffler,Presenter,Chinese,,1/1/2023,,681.68,583.05,standard,,,,6,620230101030
Canada,,Presenter / shuffler,Presenter,Indonesian,,1/1/2023,,1363.36,1078.41,standard,,,,6,620230101031
Canada,,Presenter / shuffler,Presenter,Japanese,,1/1/2023,,681.68,583.05,standard,,,,6,620230101032
Canada,,Presenter / shuffler,Presenter,Korean,,1/1/2023,,1363.36,1078.41,standard,,,,6,620230101033
Canada,,Presenter / shuffler,Presenter,Vietnamese,,1/1/2023,,1363.36,1078.41,standard,,,,6,620230101034
Canada,,Presenter / shuffler,Shuffler,,,1/1/2023,,681.68,583.05,standard,,,,4,420230101035
Canada,,General support,,,,1/1/2023,,682,,standard,,,,0,20230101036
Bulgaria,,Presenter / shuffler,Presenter,,Full time,1/1/2023,,660,512,standard,,,,5,520230101037
Bulgaria,,Presenter / shuffler,Presenter,,Part time,1/1/2023,,284,220,standard,,,,5,520230101038
Bulgaria,,Presenter / shuffler,Shuffler,,Full time,1/1/2023,10/31/2025,660,512,standard,,,,5,520230101039
Bulgaria,,Presenter / shuffler,Shuffler,,Part time,1/1/2023,,284,220,standard,,,,5,520230101040
Bulgaria,,General support,,,,1/1/2023,,700,543,standard,,,,0,20230101041
"Africa, Australasia, Central & South America",,General support,,,,1/1/2023,,700,-,standard,,,,0,20230101042
United Arab Emirates,,Presenter / shuffler,Presenter,Korean,Full time,2/16/2026,,2000,2000,standard,,,,7,720260216043
United Arab Emirates,,Presenter / shuffler,Presenter,English,Full time,2/16/2026,,500,500,standard,,,,7,720260216044
United Arab Emirates,,Presenter / shuffler,Presenter,Spanish,Full time,2/16/2026,,500,500,standard,,,,7,720260216045
United Arab Emirates,,Presenter / shuffler,Presenter,Thai,Full time,2/16/2026,,500,500,standard,,,,7,720260216046
United Arab Emirates,,Presenter / shuffler,Presenter,Indonesian,Full time,2/16/2026,,500,500,standard,,,,7,720260216047
United Arab Emirates,,Presenter / shuffler,Shuffler,,Full time,2/16/2026,,300,300,standard,,,,5,520260216048
United Arab Emirates,,General support,,,,2/16/2026,,500,500,standard,,,,0,20260216049
