Location of the referral,Sub department,Workflow title,Presenter / shuffler,Table language,Full time / part time,Date effective,Date end,Bonus amount (EUR gross),Bonus amount (EUR net),Pay type,Special campaign - 1st installment,Special campaign - 2nd installment,Special campaign - 3rd installment,Specificity,Rule rank
Brazil,,Presenter / shuffler,Presenter,Portuguese,Full time,1/1/2026,,400,,standard,,,,7,7.2026E+11
Brazil,,Presenter / shuffler,Shuffler,,Full time,1/1/2026,,300,,standard,,,,5,5.2026E+11
Brazil,,General support,,,,1/1/2026,,700,,standard,,,,0,20260101003
Romania,,Presenter / shuffler,Presenter,Russian,Full time,11/22/2025,,3419,2000,3 installments,1000,500,500,7,7.20251E+11
Serbia,,Presenter / shuffler,Presenter,Russian,Full time,10/21/2025,,2853,2000,3 installments,1000,500,500,7,7.20251E+11
Serbia,,Presenter / shuffler,Shuffler,,Full time,11/1/2025,,1428,1000,standard,,,,5,5.20251E+11
Bulgaria,,Presenter / shuffler,Shuffler,,Full time,11/1/2025,,1289,1000,standard,,,,5,5.20251E+11
Bulgaria,Appearance,General support,,,,10/2/2025,,1289,1000,standard,,,,5,5.20251E+11
Serbia,,Presenter / shuffler,Presenter,English,Full time,3/1/2025,,2105,1500,standard,,,,7,7.2025E+11
Romania,,Presenter / shuffler,Presenter,English,Full time,3/1/2025,,1709,1000,standard,,,,7,7.2025E+11
Bulgaria,,Presenter / shuffler,Presenter,English,Full time,3/1/2025,,1925,1500,standard,,,,7,7.2025E+11
Serbia,,Presenter / shuffler,Presenter,Turkish,Full time,1/1/2025,10/13/2025,2853,2000,3 installments,1000,500,500,7,7.2025E+11
Romania,,Presenter / shuffler,Presenter,Turkish,Full time,1/1/2025,10/31/2025,2853,2000,3 installments,1000,500,500,7,7.2025E+11
Serbia,,Presenter / shuffler,Presenter,Russian,Full time,6/26/2025,10/20/2025,,1500,standard,,,,7,7.20251E+11
Bulgaria,,Presenter / shuffler,Presenter,Turkish,Full time,1/1/2025,10/13/2025,2853,2000,3 installments,1000,500,500,7,7.2025E+11
"Western Europe, North America",,General support,,,,1/1/2023,,1500,-,standard,,,,0,20230101016
Serbia,,Presenter / shuffler,Shuffler,,Full time,1/1/2023,10/31/2025,713,500,standard,,,,5,5.2023E+11
Serbia,,Presenter / shuffler,Presenter,,Full time,1/1/2023,,713,500,standard,,,,5,5.2023E+11
Serbia,,Presenter / shuffler,Presenter,,Part time,1/1/2023,,357,250,standard,,,,5,5.2023E+11
Serbia,,Presenter / shuffler,Shuffler,,Part time,1/1/2023,,357,250,standard,,,,5,5.2023E+11
Serbia,,General support,,,,1/1/2023,,713,500,standard,,,,0,20230101021
Romania,,Presenter / shuffler,Presenter,,,1/1/2023,,858,502,standard,,,,4,4.2023E+11
Romania,,Presenter / shuffler,Shuffler,,,1/1/2023,,858,502,standard,,,,4,4.2023E+11
Romania,,General support,,,,1/1/2023,,700,,standard,,,,0,20230101024
Colombia,,Presenter / shuffler,Presenter,English,,1/1/2023,,300,300,standard,,,,6,6.2023E+11
Colombia,,Presenter / shuffler,Presenter,Portuguese,,1/1/2023,,300,300,standard,,,,6,6.2023E+11
